;low;high;low;high;low;high
Temperature, random error;0.0017900353381379297;-0.0018661403107314012;-0.02404573349001371;0.02407094869006332;-0.006617512628116717;0.006829169421511683
Temperature, systematic error;0.009491889188041336;-0.009357387272212137;-0.1200197241306622;0.12006375270575453;-0.031080266245723465;0.03641332904533379
Relative Humidity, measurement error;0.15451255290750043;-0.15918591613015476;0.26751293967318457;-0.32907060709527647;0.04594574202970092;-0.03131755787797408
Relative Humidity, systematic error;0.0;-0.039661113355647704;0.0;-0.07763089091963327;0.0;-0.00888631318733979
Radiation, measurement error;-0.0010673046385278884;0.0009677458308344766;0.0028947216565788914;-0.0026168927164531564;0.002497103225067465;-0.002344349063373219
Friction velocity, stable conditions;0.03210857169953363;-0.030433101766687676;0.016544055717682915;-0.015285049158026531;0.04487014004147316;-0.04416974691161113
Friction velocity, unstable conditions;0.056924421544763626;-0.04304353672756678;0.03377505754073551;-0.025008647280372553;0.12513541659986482;-0.11713061444895634
z/L, stable conditions;-0.02137695018950936;0.016551485039291824;-0.009870335317993417;0.00779902270992705;-0.005093435155977932;0.004126887093813036
z/L, unstable conditions;-0.07232131984441725;0.018783308125634557;-0.04310399781160279;0.011399120397772022;-0.030910018616461477;0.00976854951232553
Roughness length, northern wind sector;0.0038336661143107964;-0.0030930086989522376;0.003731490533801507;-0.0030066743694767695;0.001065018526094974;-0.0008090672163720836
Roughness length, eastern wind sector;0.09809656524224009;-0.04976336773084955;0.037298571092448274;-0.017055070619820256;0.03758537499013015;-0.01512737423817856
Roughness length, southern wind sector;0.045718910508838695;-0.02682742931193971;0.02908630394131162;-0.015750566921648668;0.019260169071699917;-0.00880625616252484
Roughness length, western wind sector;0.01944531214008871;-0.01404732632205219;0.017495397782630873;-0.012563935924323477;0.006024442633966509;-0.0035479057229128586
Canopy height;0.0;-0.0451004320883428;0.0;-0.022385875973276237;0.0;-0.013616327058647126
LAI, measurement error;0.13671188886375152;-0.10733760334011966;0.11090334151473913;-0.09228761861097823;0.04685293008669067;-0.03957737747471235
$SAI_{Haarweg}$, measurement error;-0.14900412919579975;0.11004153183842103;0.0;0.0;0.0;0.0
$NH_{3}$, measurement random error;0.02742955958107063;-0.02706406204296541;0.02647979482545071;-0.02610729479736107;0.05036086556861741;-0.050360865568617186
$NH_{3}$, measurement systematic error;0.004305329436030347;-0.008592326749813584;0.004155625112787775;-0.008283500509326691;0.007951715616097421;-0.015903431232194842
$SO_{2}$, measurement error;0.01843577966331522;-0.018435779663315444;0.14736346791422916;-0.13406014375419417;0.0;0.0
$G_{s,max}$ DEPAC & Massad;-0.014490170530200519;0.026222417450039615;0.036377768972366775;-0.06370828292271691;0.0;0.0
$G_{s,max}$ Zhang;0.0;0.0;0.0;0.0;0.025466870645437956;-0.047283462267545984
$R_{g,dry}$ Zhang;0.0;0.0;0.0;0.0;0.1309858163923524;-0.06157091600335951
$R_{g,wet}$ Zhang;0.0;0.0;0.0;0.0;-0.003724194365750888;0.0
$R_{ac}$ Zhang;0.0;0.0;0.0;0.0;-0.02449199550044856;0.01984264504867228
α ($R_{w,min}$) DEPAC;-0.8001693743785028;0.26928687036931154;0.0;0.0;0.0;0.0
β ($R_{w}$) DEPAC;0.3270053169671664;-0.23074845338748218;0.0;0.0;0.0;0.0
α ($R_{w,min}$) Massad;0.0;0.0;-1.738572839815809;0.32064600804077814;0.0;0.0
β ($R_{w}$) Massad;0.0;0.0;-2.166633087117178;0.6436686323031295;0.0;0.0
$β_{Temperature}$ Massad;0.0;0.0;-0.41519951802290667;0.2640770501867018;0.0;0.0
$R_{w,dry}$ Zhang;0.0;0.0;0.0;0.0;-0.1295837942199971;0.09067811582245933
$R_{w,wet}$ Zhang;0.0;0.0;0.0;0.0;-0.007153615055254692;0.004937018575956076
α ($R_{w,min,dry}$) Zhang;0.0;0.0;0.0;0.0;-0.00010830303373787764;0.008142734003002805
α ($R_{w,min,wet}$) Zhang;0.0;0.0;0.0;0.0;0.0;0.0
β ($R_{w}$) Zhang;0.0;0.0;0.0;0.0;0.18507857979919373;-0.5380966267393379
$Γ_{w}$ DEPAC;-0.18309198097768853;1.2164158027293284;0.0;0.0;0.0;0.0
$Γ_{s}$ DEPAC;-0.07227364446987039;0.160479175481404;0.0;0.0;0.0;0.0
$Γ_{s}$ Massad;0.0;0.0;-0.29582199310464197;0.34183874758758614;0.0;0.0
$Γ_{s}$ Zhang;0.0;0.0;0.0;0.0;-0.0685177010764697;0.07942977939605567
$Γ_{g}$ Zhang;0.0;0.0;0.0;0.0;-0.22423964133815;0.2491551570423891
