;DEPAC;;Massad;;Zhang;
;Low;High;Low;High;Low;High
Temperature, random error;0.179003534;-0.186614031;-2.404573349;2.407094869;-0.661751263;0.682916942
Temperature, systematic error;0.949188919;-0.935738727;-12.00197241;12.00637527;-3.108026625;3.641332905
Relative Humidity, measurement error;15.45125529;-15.91859161;26.75129397;-32.90706071;4.594574203;-3.131755788
Relative Humidity, systematic error;0;-3.966111336;0;-7.763089092;0;-0.888631319
Radiation, measurement error;-0.106730464;0.096774583;0.289472166;-0.261689272;0.249710323;-0.234434906
Friction velocity, stable conditions;3.21085717;-3.043310177;1.654405572;-1.528504916;4.487014004;-4.416974691
Friction velocity, unstable conditions;5.692442154;-4.304353673;3.377505754;-2.500864728;12.51354166;-11.71306144
z/L, stable conditions;-2.137695019;1.655148504;-0.987033532;0.779902271;-0.509343516;0.412688709
z/L, unstable conditions;-7.232131984;1.878330813;-4.310399781;1.13991204;-3.091001862;0.976854951
Roughness length, northern wind sector;0.383366611;-0.30930087;0.373149053;-0.300667437;0.106501853;-0.080906722
Roughness length, eastern wind sector;9.809656524;-4.976336773;3.729857109;-1.705507062;3.758537499;-1.512737424
Roughness length, southern wind sector;4.571891051;-2.682742931;2.908630394;-1.575056692;1.926016907;-0.880625616
Roughness length, western wind sector;1.944531214;-1.404732632;1.749539778;-1.256393592;0.602444263;-0.354790572
Canopy height;0;-4.510043209;0;-2.238587597;0;-1.361632706
LAI, measurement error;13.67118889;-10.73376033;11.09033415;-9.228761861;4.685293009;-3.957737747
SAI_haarweg, measurement error;-14.90041292;11.00415318;0;0;0;0
NH3, measurement random error;2.742955958;-2.706406204;2.647979483;-2.61072948;5.036086557;-5.036086557
NH3, measurement systematic error;0.430532944;-0.859232675;0.415562511;-0.828350051;0.795171562;-1.590343123
SO2, measurement error;1.843577966;-1.843577966;14.73634679;-13.40601438;0;0
Gs,max DEPAC & Massad;-1.449017053;2.622241745;3.637776897;-6.370828292;0;0
Gs,max Zhang;0;0;0;0;2.546687065;-4.728346227
Rg,dry Zhang;0;0;0;0;13.09858164;-6.1570916
Rg,wet Zhang;0;0;0;0;-0.372419437;0
Rac Zhang;0;0;0;0;-2.44919955;1.984264505
?  DEPAC;-80.01693744;26.92868704;0;0;0;0
? DEPAC;32.7005317;-23.07484534;0;0;0;0
?  Massad;0;0;-173.857284;32.0646008;0;0
? Massad;0;0;-216.6633087;64.36686323;0;0
?temp Massad;0;0;-41.5199518;26.40770502;0;0
Rw,dry reference Zhang;0;0;0;0;-12.95837942;9.067811582
Rw,wet reference Zhang;0;0;0;0;-0.715361506;0.493701858
? dry Zhang;0;0;0;0;-0.010830303;0.8142734
? wet Zhang;0;0;0;0;0;0
? Zhang;0;0;0;0;18.50785798;-53.80966267
?w DEPAC;-18.3091981;121.6415803;0;0;0;0
?s DEPAC;-7.227364447;16.04791755;0;0;0;0
?s Massad;0;0;-29.58219931;34.18387476;0;0
?s Zhang;0;0;0;0;-6.851770108;7.94297794
?g Zhang;0;0;0;0;-22.42396413;24.9155157
